"Last date the gear was known to be at this locaiton / La date à laquelle l’engin a été repéré à cet endroit pour
la dernière fois",Gear Type / Type d’engin,Number of Units / Nombre d’engins perdus ,Estimated Length of Netting Lost / Longueur estimée de filets perdus,Estimated Length of Rope Lost / Longueur estimée de corde perdue,Latitude,Longitude
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,240,"47°56'634"" N","65°02'624"" W"
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,0,"47°29'632"" N","61°24'178"" W"
2019-05-08,CASIER/CAGE - TRAP/POT,2,0,0,"46°57'01"" N","64°00'01"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,0,"46°55'02"" N","64°21'04"" W"
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,450,"46°48'959"" N","61°57'026"" W"
2019-05-14,CASIER/CAGE - TRAP/POT,2,0,900,"46°47'412"" N","62°09'167"" W"
2019-05-07,CASIER/CAGE - TRAP/POT,2,0,0,"47°23'37"" N","61°36'42"" W"
2019-05-15,CASIER/CAGE - TRAP/POT,1,0,0,"46°54'624"" N","63°56'845"" W"
2019-05-15,CASIER/CAGE - TRAP/POT,1,0,100,"46°57'757"" N","63°53'008"" W"
2019-05-15,CASIER/CAGE - TRAP/POT,2,0,0,"46°41'752"" N","63°53'185"" W"
2019-05-15,CASIER/CAGE - TRAP/POT,1,0,0,"46°12'01"" N","62°11'03"" W"
2019-05-03,CASIER/CAGE - TRAP/POT,1,0,25,See Notes,See Notes
2019-05-15,CASIER/CAGE - TRAP/POT,1,0,20,"47°35'06"" N","63°37'86"" W"
2019-05-15,CASIER/CAGE - TRAP/POT,1,0,20,"47°33'07"" N","63°42'09"" W"
2019-05-15,CASIER/CAGE - TRAP/POT,1,0,20,"47°33'08"" N","63°41'08"" W"
2019-05-15,CASIER/CAGE - TRAP/POT,1,0,450,"47°38'37"" N","63°27'70"" W"
2019-05-15,CASIER/CAGE - TRAP/POT,1,0,450,"47°38'27"" N","63°25'42"" W"
2019-05-06,CASIER/CAGE - TRAP/POT,1,0,180,"47°17'50"" N","63°04'58"" W"
2019-05-06,CASIER/CAGE - TRAP/POT,1,0,0,"46°41'92"" N","63°53'62"" W"
2019-05-10,CASIER/CAGE - TRAP/POT,2,0,900,"47°34'00"" N","63°32'00"" W"
2019-05-08,CASIER/CAGE - TRAP/POT,0,0,0,"47°57'260"" N","64°24'866"" W"
2019-05-10,CASIER/CAGE - TRAP/POT,3,0,150,"14°988'90"" N","30°802'55"" W"
2019-05-08,CASIER/CAGE - TRAP/POT,7,0,312,"48°47'386"" N","64°21'597"" W"
2019-05-11,CASIER/CAGE - TRAP/POT,7,0,312,"48°47'524"" N","64°21'925"" W"
2019-05-11,CASIER/CAGE - TRAP/POT,1,0,0,"47°22'49"" N","62°30'89"" W"
2019-05-07,CASIER/CAGE - TRAP/POT,1,0,0,"47°44'488"" N","63°28'416"" W"
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,0,"47°38'186"" N","63°23'500"" W"
2019-05-11,CASIER/CAGE - TRAP/POT,2,0,50,"46°10'595"" N","62°28'925"" W"
2019-05-15,CASIER/CAGE - TRAP/POT,4,0,0,"46°28'314"" N","61°57'017"" W"
2019-05-15,CASIER/CAGE - TRAP/POT,1,0,0,"47°28'164"" N","61°20'941"" W"
2019-05-06,CASIER/CAGE - TRAP/POT,1,0,0,"47°02'939"" N","62°32'728"" W"
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,0,"49°46'871"" N","62°31'531"" W"
UNCONFIRMED,CASIER/CAGE - TRAP/POT,5,0,0,"46°28'42"" N","62°03'91"" W"
2019-05-12,CASIER/CAGE - TRAP/POT,1,0,100,"47°65'00"" N","63°38'30"" W"
2019-05-06,CASIER/CAGE - TRAP/POT,1,0,100,"48°15'16"" N","64°15'63"" W"
2019-05-16,CASIER/CAGE - TRAP/POT,2,0,0,"46°51'33"" N","63°58'72"" W"
2019-05-12,CASIER/CAGE - TRAP/POT,1,0,420,"47°27'71"" N","62°33'23"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,500,"46°45'21"" N","61°31'52"" W"
2019-04-26,CASIER/CAGE - TRAP/POT,7,0,450,"47°29'233"" N","60°30'175"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,0,"47°50'88"" N","64°58'48"" W"
2019-05-06,CASIER/CAGE - TRAP/POT,1,0,350,"48°03'04"" N","64°47'45"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,0,"47°40'239"" N","64°34'695"" W"
UNCONFIRMED,FILET - NET,2,600,200,"47°30'484"" N","61°45'900"" W"
2019-05-12,FILET - NET,2,600,200,"47°30'457"" N","61°45'572"" W"
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,0,"47°42'19"" N","61°35'07"" W"
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,0,"47°42'19"" N","61°35'07"" W"
2019-05-15,CASIER/CAGE - TRAP/POT,1,0,0,"47°17'358"" N","63°10'190"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,50,"47°55'831"" N","63°44'523"" W"
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,0,"47°24'668"" N","63°30'378"" W"
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,0,"47°22'218"" N","63°33'638"" W"
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,0,"47°22'366"" N","63°32'875"" W"
2019-05-17,CASIER/CAGE - TRAP/POT,1,0,0,See Notes,See Notes
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,0,"47°22'366"" N","63°32'875"" W"
2019-05-12,CASIER/CAGE - TRAP/POT,1,0,0,"47°31'02"" N","61°15'66"" W"
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,0,"47°22'48"" N","63°15'27"" W"
2019-05-07,CASIER/CAGE - TRAP/POT,1,0,510,"47°28'19"" N","63°13'11"" W"
2019-05-12,CASIER/CAGE - TRAP/POT,1,0,450,"47°44'18"" N","63°41'45"" W"
2019-05-15,CASIER/CAGE - TRAP/POT,1,0,310,"47°13'30"" N","63°05'22"" W"
2019-05-17,CASIER/CAGE - TRAP/POT,1,200,0,"48°03'00"" N","63°38'40"" W"
2019-05-16,CASIER/CAGE - TRAP/POT,3,0,1350,"14°66'02"" N","29°71'67"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,500,"47°27'343"" N","63°24'694"" W"
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,450,"47°36'507"" N","63°36'037"" W"
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,480,"48°08'14"" N","63°43'09"" W"
